feature,gain,split
EXT_SOURCE_2,640.7394409179688,1771.0
EXT_SOURCE_3,637.0244140625,2097.0
NAME_EDUCATION_TYPE_Higher education,566.64794921875,151.0
CODE_GENDER_M,313.4730529785156,203.0
NAME_EDUCATION_TYPE_Secondary / secondary special,254.32440185546875,65.0
CODE_GENDER_F,252.53529357910156,150.0
NAME_CONTRACT_TYPE_Revolving loans,237.8159637451172,44.0
FLAG_DOCUMENT_3,212.4580841064453,144.0
NAME_INCOME_TYPE_Working,206.79981994628906,54.0
EXT_SOURCE_1,192.4661102294922,2168.0
NAME_CONTRACT_TYPE_Cash loans,186.82183837890625,161.0
DAYS_EMPLOYED_YEARS,171.06446838378906,282.0
DAYS_EMPLOYED,163.72103881835938,1325.0
INS_PAYMENT_PERC_MEAN,154.5078887939453,791.0
CC_AMT_BALANCE_MEAN,146.70797729492188,535.0
PREV_APP_CREDIT_PERC_MEAN,136.45834350585938,1219.0
IMPLIED_TERM,131.8257293701172,2808.0
FLAG_OWN_CAR,129.31124877929688,72.0
NAME_INCOME_TYPE_State servant,122.25108337402344,59.0
NAME_FAMILY_STATUS_Married,120.16102600097656,214.0
OCCUPATION_TYPE_Core staff,112.99637603759766,80.0
OWN_CAR_AGE,109.11416625976562,682.0
AMT_GOODS_PRICE,107.34234619140625,1007.0
BUREAU_DAYS_CREDIT_MEAN,105.29645538330078,919.0
REGION_RATING_CLIENT_W_CITY,100.79624938964844,258.0
DEF_30_CNT_SOCIAL_CIRCLE,100.75469970703125,172.0
POS_SK_DPD_DEF_MEAN,98.27654266357422,505.0
DAYS_BIRTH_YEARS,96.20100402832031,649.0
AMT_ANNUITY,93.1645736694336,1178.0
POS_CNT_INSTALMENT_FUTURE_MEAN,90.5691146850586,1518.0
INS_LATE_DAYS_MAX,88.36609649658203,1041.0
REGION_RATING_CLIENT,85.5485610961914,46.0
AMT_REQ_CREDIT_BUREAU_QRT,81.84957885742188,176.0
REG_CITY_NOT_LIVE_CITY,80.73159790039062,113.0
PREV_DAYS_DECISION_MIN,77.81208801269531,1416.0
WALLSMATERIAL_MODE_Panel,77.73307800292969,32.0
AMT_CREDIT,76.67996978759766,890.0
DEF_60_CNT_SOCIAL_CIRCLE,76.32469940185547,186.0
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,75.64291381835938,752.0
DAYS_BIRTH,75.47398376464844,1307.0
PREV_NAME_CONTRACT_STATUS_NUNIQUE,74.62815856933594,312.0
FLOORSMAX_MEDI,74.52450561523438,67.0
BUREAU_DAYS_CREDIT_MAX,73.9957046508789,1272.0
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,73.53324890136719,1078.0
PREV_AMT_CREDIT_MAX,68.55020904541016,970.0
PREV_AMT_ANNUITY_MEAN,64.81439971923828,1213.0
OCCUPATION_TYPE_Drivers,62.42518997192383,86.0
TOTALAREA_MODE,61.31740188598633,412.0
CC_AMT_BALANCE_MAX,60.60077667236328,459.0
INS_LATE_DAYS_MEAN,60.50092315673828,997.0
DAYS_ID_PUBLISH,57.284366607666016,991.0
BUREAU_AMT_CREDIT_SUM_MAX,56.57563781738281,976.0
ORGANIZATION_TYPE_Self-employed,56.51311492919922,122.0
DAYS_LAST_PHONE_CHANGE,56.00411605834961,1081.0
BUREAU_AMT_CREDIT_SUM_SUM,55.68901443481445,971.0
DEBT_TO_INCOME,55.082481384277344,804.0
FLOORSMAX_MODE,54.14021301269531,61.0
ORGANIZATION_TYPE_Restaurant,54.08858108520508,12.0
OCCUPATION_TYPE_Laborers,53.89933395385742,36.0
BUREAU_AMT_CREDIT_SUM_MEAN,52.56871032714844,833.0
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,52.56696701049805,1060.0
PREV_DAYS_DECISION_MAX,52.27497100830078,1252.0
FLAG_WORK_PHONE,51.948909759521484,190.0
APARTMENTS_AVG,50.73630142211914,245.0
LIVINGAREA_MEDI,50.39370346069336,184.0
AMT_REQ_CREDIT_BUREAU_WEEK,50.09029006958008,53.0
ORGANIZATION_TYPE_Kindergarten,49.25609588623047,62.0
GOODS_TO_INCOME,48.99151611328125,642.0
YEARS_BEGINEXPLUATATION_MODE,48.947574615478516,270.0
ELEVATORS_MODE,48.79443359375,83.0
CC_DRAW_RATIO_MAX,48.46320724487305,460.0
POS_SK_DPD_DEF_MAX,48.180503845214844,195.0
ORGANIZATION_TYPE_Military,48.1419677734375,88.0
ORGANIZATION_TYPE_Construction,48.062416076660156,98.0
FONDKAPREMONT_MODE_not specified,47.95595932006836,23.0
INS_PAYMENT_DIFF_MEAN,47.93742752075195,695.0
INS_PAYMENT_PERC_MAX,47.823150634765625,215.0
APARTMENTS_MEDI,47.809078216552734,175.0
FLAG_DOCUMENT_8,47.79432678222656,18.0
LIVINGAREA_MODE,47.762508392333984,230.0
PREV_AMT_CREDIT_MEAN,47.70530319213867,723.0
ORGANIZATION_TYPE_Industry: type 9,47.620479583740234,97.0
ORGANIZATION_TYPE_School,46.696659088134766,102.0
WALLSMATERIAL_MODE_Block,46.61420822143555,23.0
ORGANIZATION_TYPE_Transport: type 3,46.117679595947266,87.0
LANDAREA_MODE,46.081298828125,280.0
BUREAU_BB_STATUS_C_SUM,45.75839614868164,539.0
ORGANIZATION_TYPE_Industry: type 3,45.71749496459961,4.0
REG_CITY_NOT_WORK_CITY,45.711055755615234,26.0
YEARS_BUILD_MODE,45.61961364746094,143.0
WEEKDAY_APPR_PROCESS_START_THURSDAY,45.56543731689453,32.0
APARTMENTS_MODE,45.331268310546875,255.0
DAYS_REGISTRATION,45.10469055175781,833.0
PHONE_RECENCY_RATIO,44.90599822998047,872.0
FLOORSMAX_AVG,44.68684387207031,97.0
ANN_TO_INC_PC,44.603633880615234,718.0
ORGANIZATION_TYPE_Advertising,44.32849884033203,5.0
INS_PAYMENT_DIFF_MAX,44.303382873535156,503.0
BASEMENTAREA_MEDI,44.243160247802734,207.0
BUREAU_DAYS_CREDIT_MIN,44.2318000793457,775.0
OCCUPATION_TYPE_Accountants,44.166290283203125,65.0
NONLIVINGAREA_MODE,44.15182876586914,366.0
ORGANIZATION_TYPE_Industry: type 7,44.11470413208008,3.0
INS_PAYMENT_DIFF_SUM,44.03118133544922,751.0
YEARS_BEGINEXPLUATATION_MEDI,43.87607955932617,272.0
ORGANIZATION_TYPE_Bank,43.83891677856445,64.0
ELEVATORS_MEDI,43.71549606323242,95.0
OBS_60_CNT_SOCIAL_CIRCLE,43.68729782104492,250.0
NAME_FAMILY_STATUS_Civil marriage,43.66672134399414,13.0
YEARS_BUILD_MEDI,43.60856246948242,117.0
ENTRANCES_MEDI,43.492897033691406,124.0
NONLIVINGAPARTMENTS_MEDI,43.4920654296875,119.0
NAME_TYPE_SUITE_Unaccompanied,43.45524215698242,26.0
NONLIVINGAREA_MEDI,43.299232482910156,311.0
NAME_FAMILY_STATUS_Widow,43.2572021484375,41.0
FLOORSMIN_MODE,43.24447250366211,51.0
CC_DRAW_RATIO_MEAN,43.09989547729492,441.0
FLOORSMIN_AVG,42.94576644897461,120.0
COMMONAREA_MODE,42.888797760009766,268.0
NONLIVINGAREA_AVG,42.85840606689453,342.0
LIVINGAPARTMENTS_MEDI,42.577728271484375,147.0
