feature,gain,split
EXT_SOURCE_3,688200.0305318832,8494
EXT_SOURCE_2,640934.0835342407,7693
ORGANIZATION_TYPE,378414.49700021744,20690
EXT_SOURCE_1,239868.85510778427,7865
IMPLIED_TERM,224568.27487802505,9195
PREV_APP_CREDIT_PERC_MEAN,129718.67011499405,6671
DAYS_EMPLOYED,128968.90041542053,6112
OCCUPATION_TYPE,118260.0788474083,5989
POS_CNT_INSTALMENT_FUTURE_MEAN,117649.6704416275,6706
PREV_DAYS_DECISION_MIN,107678.26412200928,6332
BUREAU_DAYS_CREDIT_MAX,99044.93004369736,6024
PREV_AMT_ANNUITY_MEAN,90601.0774641037,5883
AMT_ANNUITY,90585.78433179855,5126
INS_PAYMENT_PERC_MEAN,83528.06651353836,3825
PREV_DAYS_DECISION_MAX,75912.71481752396,5462
BUREAU_DAYS_CREDIT_MEAN,73152.0057144165,4197
INS_LATE_DAYS_MAX,71822.35972738266,4246
AMT_GOODS_PRICE,71035.22545003891,3609
INS_LATE_DAYS_MEAN,71034.8072257042,4853
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,69771.35203886032,3941
DAYS_BIRTH,68320.1139163971,4107
AMT_CREDIT,65901.27260780334,3763
DAYS_ID_PUBLISH,65703.98737716675,4545
PREV_AMT_CREDIT_MAX,63420.96612548828,4160
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,60478.4672999382,3836
BUREAU_AMT_CREDIT_SUM_MAX,59988.86145353317,4225
DAYS_BIRTH_YEARS,59376.57355117798,3316
BUREAU_AMT_CREDIT_SUM_SUM,56080.61675786972,3878
OWN_CAR_AGE,55169.13494729996,2569
BUREAU_AMT_CREDIT_SUM_MEAN,54445.05045413971,3949
DAYS_REGISTRATION,53867.39450740814,4069
CC_AMT_BALANCE_MEAN,53033.84983539581,2375
BUREAU_DAYS_CREDIT_MIN,51678.018607616425,3989
DEBT_TO_INCOME,50945.78672504425,3508
ANN_TO_INC_PC,49259.10536956787,3721
DAYS_LAST_PHONE_CHANGE,48568.28695678711,3238
PREV_AMT_CREDIT_MEAN,47330.234372615814,3554
DOC_RECENCY_RATIO,44139.22192955017,3515
REGION_POPULATION_RELATIVE,43792.856065273285,3432
NAME_EDUCATION_TYPE,39035.03365564346,634
GOODS_TO_INCOME,38466.43650007248,3000
PHONE_RECENCY_RATIO,38309.15338850021,2973
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,38136.32370233536,2326
INS_PAYMENT_DIFF_SUM,37144.23265218735,2883
CODE_GENDER,36483.508574962616,902
POS_SK_DPD_DEF_MEAN,36449.36094093323,1517
INS_PAYMENT_DIFF_MEAN,35785.74616241455,2559
CC_AMT_BALANCE_MAX,29806.562563419342,1754
INC_PER_DEP,28953.953476428986,2315
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,27580.99498128891,1885
CC_DRAW_RATIO_MEAN,23757.352625846863,1761
TOTALAREA_MODE,23724.868025302887,1809
BUREAU_BB_STATUS_0_SUM,23688.037506580353,1760
DAYS_EMPLOYED_YEARS,22977.90100336075,1172
AMT_INCOME_TOTAL,22651.641062259674,1740
WEEKDAY_APPR_PROCESS_START,21834.653120994568,1679
CC_DRAW_RATIO_MAX,20705.563044071198,1444
NAME_FAMILY_STATUS,20111.469118595123,925
BUREAU_BB_STATUS_C_SUM,18346.146241664886,1306
HOUR_APPR_PROCESS_START,18142.973548412323,1409
FLAG_DOCUMENT_3,16668.444385528564,514
REGION_RATING_CLIENT_W_CITY,16498.24780702591,617
LANDAREA_AVG,15371.622183799744,1232
YEARS_BEGINEXPLUATATION_MODE,15341.82362651825,1145
APARTMENTS_MODE,15098.189939022064,1175
YEARS_BEGINEXPLUATATION_AVG,15094.147250652313,1177
PREV_NAME_CONTRACT_STATUS_NUNIQUE,15020.285782814026,771
APARTMENTS_AVG,14909.791468143463,1135
BASEMENTAREA_AVG,14610.50263261795,1118
BASEMENTAREA_MODE,14189.608393669128,1121
LIVINGAREA_MODE,14025.603796005249,1099
NAME_CONTRACT_TYPE,13918.885819911957,384
POS_SK_DPD_MEAN,13480.637242794037,1009
LANDAREA_MODE,12903.721898555756,1014
YEARS_BEGINEXPLUATATION_MEDI,12047.746613025665,903
INS_PAYMENT_PERC_MAX,11842.835306167603,856
APARTMENTS_MEDI,11646.182775974274,909
DEF_30_CNT_SOCIAL_CIRCLE,11569.69445180893,524
LIVINGAREA_MEDI,11216.12338399887,774
INS_PAYMENT_DIFF_MAX,10922.631397724152,779
COMMONAREA_MODE,10402.13078212738,812
LIVINGAREA_AVG,10254.844530582428,696
NONLIVINGAREA_AVG,10245.751455783844,803
BUREAU_BB_STATUS_X_SUM,10141.080317020416,777
COMMONAREA_AVG,10062.837799549103,774
AMT_REQ_CREDIT_BUREAU_YEAR,9733.13474035263,725
BASEMENTAREA_MEDI,9732.361967086792,755
LANDAREA_MEDI,9724.40044927597,750
YEARS_BUILD_AVG,9695.400085449219,775
NONLIVINGAREA_MODE,9440.818818569183,756
COMMONAREA_MEDI,9395.51052904129,740
POS_SK_DPD_MAX,9011.449740409851,726
