number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_is_unbalance,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,datetime_start,datetime_complete,duration
0,0.7771681755171396,COMPLETE,0.9330880728874675,6,goss,0.5290418060840998,True,1.5320059381854043e-08,5.360294728728285,0.044803926826840625,1,39,1.416145155592091,83,0.7307973307613007,0.751693906484126,0.766479167423598,0.7749419940762994,2025-08-28 20:14:52.343623,2025-08-28 20:25:00.708726,0 days 00:10:08.365103
1,0.7842753884729416,COMPLETE,0.569746930326021,3,goss,0.8059264473611898,False,0.00012724181576752517,0.1165691561324743,0.012439367209907218,6,65,0.7327236865873834,68,0.7811089630247825,,,,2025-08-28 20:25:00.884734,2025-08-28 20:30:31.499369,0 days 00:05:30.614635
2,0.7832352012856092,COMPLETE,0.9041986740582306,3,gbdt,0.9828160165372797,False,0.014391207615728067,9.148975058772307e-05,0.030860579740535368,0,191,0.19534422801276774,25,,,,,2025-08-28 20:30:31.545612,2025-08-28 20:32:55.773233,0 days 00:02:24.227621
3,0.7851797015265165,COMPLETE,0.5924272277627636,10,goss,0.7733551396716398,False,2.854239907497756,1.1309571585271483,0.010855517271883068,4,109,1.550265646722229,99,0.7338725653385316,0.7571249509280296,0.7744087471168337,0.7836587075866287,2025-08-28 20:32:55.813367,2025-08-28 20:44:26.167437,0 days 00:11:30.354070
4,0.7844306282099884,COMPLETE,0.6783766633467947,3,goss,0.9143687545759647,False,1.8548894229694903e-07,0.16587190283399655,0.005725482134163321,5,61,1.085392166316497,39,0.7480040518051173,0.770464705926494,0.7818295123567882,,2025-08-28 20:44:26.335900,2025-08-28 20:56:57.073408,0 days 00:12:30.737508
5,0.7809035039002244,COMPLETE,0.5370223258670452,3,gbdt,0.8856351733429728,True,0.5860448217200517,0.004070831640873338,0.0050834018700114374,11,149,0.23173811905025943,153,0.7575652541891622,0.7656198305495501,0.7770988615514567,,2025-08-28 20:56:57.246195,2025-08-28 21:06:51.852923,0 days 00:09:54.606728
6,0.7807042421996028,COMPLETE,0.8566223936114975,8,goss,0.5597971229691509,True,0.08683696167603723,0.0002780739892288472,0.04448458336296337,14,100,1.1225543951389925,93,0.7744455672786714,0.7805530773193707,,,2025-08-28 21:06:51.909098,2025-08-28 21:08:24.689386,0 days 00:01:32.780288
7,0.7828235373494684,COMPLETE,0.6246461145744375,4,goss,0.9537832369630466,True,1.1459970229341322e-06,4.929685216887945e-08,0.005493641531789704,4,107,1.5111022770860973,92,0.7786850215867802,,,,2025-08-28 21:08:24.830950,2025-08-28 21:19:54.987930,0 days 00:11:30.156980
8,0.7785557584703376,COMPLETE,0.7696711209578253,8,gbdt,0.9462794992449889,False,7.278322158604965e-06,9.782893389157736e-08,0.03334627219998868,13,45,1.7921825998469865,179,0.7784528836099393,,,,2025-08-28 21:19:55.152427,2025-08-28 21:22:08.403036,0 days 00:02:13.250609
9,0.7570059656892015,PRUNED,0.668807585701814,10,goss,0.5599326836668415,False,0.0004667836070663388,0.02124078827890451,0.005105225557256487,6,52,0.6464058640415105,65,0.7570059656892015,,,,2025-08-28 21:22:08.536121,2025-08-28 21:22:55.390523,0 days 00:00:46.854402
