number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,params_scale_pos_weight,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,datetime_start,datetime_complete,duration
0,0.257501914928371,COMPLETE,0.9330880728874675,6,goss,0.5290418060840998,1.5320059381854043e-08,5.360294728728285,0.044803926826840625,1,55,1.416145155592091,83,122.74621177526848,0.2436674109278642,0.2551444762377112,,2025-09-03 15:18:49.200684,2025-09-03 15:31:15.110824,0 days 00:12:25.910140
1,0.2690356861518025,COMPLETE,0.8059264473611898,1,gbdt,0.645614570099021,1.9826980964985924e-05,0.00012724181576752517,0.008661333735273127,8,135,0.5842892970704363,36,103.10602444757734,0.22092420604046797,0.2572065573235099,0.26898820009192304,2025-09-03 15:31:15.277246,2025-09-03 15:39:38.651025,0 days 00:08:23.373779
2,0.2688588754246866,COMPLETE,0.9744427686266666,10,goss,0.5325257964926398,5.514725787121931e-06,7.569183361880229e-08,0.029493012052163467,9,59,1.6167946962329223,18,71.0505434851203,0.22426073631014862,0.2573480997639386,0.2683216014330528,2025-09-03 15:39:38.695780,2025-09-03 15:42:13.606342,0 days 00:02:34.910562
3,0.2644791024942049,COMPLETE,0.6558555380447055,5,gbdt,0.831261142176991,4.609885087947832e-07,5.324289357128436,0.022039920190846215,15,85,1.0934205586865593,17,99.35605336416168,0.2638321766755113,,,2025-09-03 15:42:13.640028,2025-09-03 15:45:13.899234,0 days 00:03:00.259206
4,0.2666361048186209,COMPLETE,0.6626651653816322,4,gbdt,0.522613644455269,0.28749982347407854,1.6247252885719427e-05,0.0299816694120633,0,67,0.5426980635477918,206,16.04940682994844,,,,2025-09-03 15:45:13.933910,2025-09-03 15:48:16.854275,0 days 00:03:02.920365
5,0.2679595838088467,PRUNED,0.5027610585618012,8,gbdt,0.5993578407670862,0.03639690979811287,0.08738424135626986,0.055290731882815025,16,234,1.4137146876952342,19,7.481850429304887,0.2549386788743072,0.2670649731904105,0.2679595838088467,2025-09-03 15:48:17.041749,2025-09-03 15:49:50.709550,0 days 00:01:33.667801
6,0.2687129335460171,COMPLETE,0.6625916610133735,8,gbdt,0.6554911608578311,0.9658611176861268,0.0001778010520878397,0.06635802485202448,4,28,1.2751149427104262,89,8.850793421888945,,,,2025-09-03 15:49:50.762564,2025-09-03 15:51:14.477781,0 days 00:01:23.715217
7,0.27161454852819905,COMPLETE,0.5127095633720475,1,goss,0.7137705091792748,0.005341874754868531,6.748446817464346e-06,0.026866338002255557,7,162,0.0628583713734685,135,37.165998486252974,0.264646689250882,0.2714599571294668,,2025-09-03 15:51:14.521335,2025-09-03 15:54:16.551559,0 days 00:03:02.030224
8,0.20500523705417856,PRUNED,0.5806106436270022,10,gbdt,0.6448757264568841,0.005019191993687105,0.6968596391373533,0.017095842058829476,3,32,1.616240759128834,129,110.38649106765276,0.20500523705417856,,,2025-09-03 15:54:16.576262,2025-09-03 15:54:26.900148,0 days 00:00:10.323886
9,0.24245967429564788,PRUNED,0.6139675812709708,4,goss,0.5550259622638384,0.557924264150636,1.1549659339590204e-08,0.025157671328351613,15,102,1.6360295318449862,149,37.46561508392662,0.24245967429564788,,,2025-09-03 15:54:26.937016,2025-09-03 15:54:58.749757,0 days 00:00:31.812741
10,0.2666144476531874,PRUNED,0.5806398731957061,4,goss,0.5949874690566446,0.00013642060549055263,0.0009019954506536516,0.06236398415647555,9,160,0.5353024219300118,172,53.368453031498774,0.2581372764611594,0.2666144476531874,,2025-09-03 15:54:58.803577,2025-09-03 15:55:59.153655,0 days 00:01:00.350078
11,0.21688002527039812,PRUNED,0.9362737164712334,2,gbdt,0.6502285885488341,8.532240209105369e-08,0.0004077707153394903,0.007843672411173586,7,246,0.7972585280991473,30,62.51855179165537,0.21688002527039812,,,2025-09-03 15:55:59.163185,2025-09-03 15:56:16.429836,0 days 00:00:17.266651
12,0.2648789002059956,PRUNED,0.5194712604233979,0,gbdt,0.7982323936039579,0.09134550471422205,1.7726410036771893e-07,0.05606743989702297,8,165,0.4999078979871202,131,16.248227138646893,0.25966948482020885,0.2648789002059956,,2025-09-03 15:56:16.437971,2025-09-03 15:57:18.651837,0 days 00:01:02.213866
13,0.21408599249431445,PRUNED,0.6744733594692565,0,goss,0.7899145358100272,5.999105313449826,8.926330739974083e-06,0.012689189951303588,4,240,0.23941333093979156,171,30.24667513254574,0.21408599249431445,,,2025-09-03 15:57:18.662134,2025-09-03 15:57:31.166613,0 days 00:00:12.504479
14,0.2640888300916716,COMPLETE,0.8980195445478232,3,gbdt,0.5823899753805651,3.6287761680344423e-06,0.0342382509854925,0.014142082199550241,10,61,0.5476767442184718,42,172.59909660342595,,,,2025-09-03 15:57:31.174341,2025-09-03 16:01:12.152372,0 days 00:03:40.978031
