feature,gain,split
EXT_SOURCE_3,382509.777305603,501
EXT_SOURCE_2,341624.3418083191,466
ORGANIZATION_TYPE,199025.19500732422,2263
EXT_SOURCE_1,122758.01398468018,526
IMPLIED_TERM,113325.7216758728,714
DAYS_EMPLOYED,55657.718185424805,315
OCCUPATION_TYPE,55082.72170829773,594
PREV_APP_CREDIT_PERC_MEAN,52287.00323677063,328
POS_CNT_INSTALMENT_FUTURE_MEAN,45709.40072441101,432
AMT_ANNUITY,35841.74271774292,328
INS_PAYMENT_PERC_MEAN,34766.686279296875,233
PREV_DAYS_DECISION_MIN,34441.3856420517,395
BUREAU_DAYS_CREDIT_MAX,33092.835763931274,379
INS_LATE_DAYS_MAX,31986.683495521545,244
PREV_AMT_ANNUITY_MEAN,29597.133335113525,369
AMT_GOODS_PRICE,28364.910829544067,242
NAME_EDUCATION_TYPE,27003.675884246826,68
DAYS_BIRTH_YEARS,26949.510404586792,246
BUREAU_DAYS_CREDIT_MEAN,25970.29343700409,224
CC_AMT_BALANCE_MEAN,25705.459825515747,178
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,25247.97537612915,242
OWN_CAR_AGE,25241.606075286865,184
CODE_GENDER,24576.28134536743,107
AMT_CREDIT,24153.217708587646,238
PREV_AMT_CREDIT_MAX,23461.358182907104,279
PREV_DAYS_DECISION_MAX,19819.373876571655,320
INS_LATE_DAYS_MEAN,19618.199460029602,258
DAYS_BIRTH,19369.1167678833,215
DAYS_ID_PUBLISH,19093.736476898193,261
BUREAU_AMT_CREDIT_SUM_SUM,18319.243636131287,246
DAYS_LAST_PHONE_CHANGE,17514.141980171204,210
BUREAU_AMT_CREDIT_SUM_MAX,17391.082279205322,234
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,16883.073823928833,232
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,15822.730043411255,169
DEBT_TO_INCOME,14740.993585586548,207
POS_SK_DPD_DEF_MEAN,14589.261054992676,101
BUREAU_AMT_CREDIT_SUM_MEAN,14577.10450553894,217
BUREAU_DAYS_CREDIT_MIN,13811.87169265747,226
WEEKDAY_APPR_PROCESS_START,12916.761262893677,232
DAYS_REGISTRATION,12210.801610946655,194
PREV_AMT_CREDIT_MEAN,11671.573481559753,190
NAME_FAMILY_STATUS,11435.886260032654,111
REGION_POPULATION_RELATIVE,10914.65117263794,181
NAME_CONTRACT_TYPE,10722.4711227417,51
ANN_TO_INC_PC,10102.161499023438,160
INS_PAYMENT_DIFF_SUM,9025.258205413818,153
CC_AMT_BALANCE_MAX,8871.85242843628,93
PHONE_RECENCY_RATIO,8849.853313446045,158
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,8167.494161605835,104
REGION_RATING_CLIENT_W_CITY,8136.314691543579,76
GOODS_TO_INCOME,8086.601392745972,139
DAYS_EMPLOYED_YEARS,8044.7783279418945,65
INS_PAYMENT_DIFF_MEAN,8018.484607696533,110
FLAG_DOCUMENT_3,7916.511720657349,48
DOC_RECENCY_RATIO,7778.804315567017,136
PREV_NAME_CONTRACT_STATUS_NUNIQUE,7428.144384384155,82
BUREAU_BB_STATUS_0_SUM,6673.570503234863,105
TOTALAREA_MODE,6349.2269649505615,84
CC_DRAW_RATIO_MEAN,6316.94421005249,90
AMT_INCOME_TOTAL,6002.2027950286865,104
CC_DRAW_RATIO_MAX,5991.101098060608,83
INS_PAYMENT_PERC_MAX,5806.900682449341,71
BUREAU_BB_STATUS_C_SUM,5703.727899551392,92
DEF_30_CNT_SOCIAL_CIRCLE,5304.931911468506,43
INC_PER_DEP,5124.169200897217,97
DEF_60_CNT_SOCIAL_CIRCLE,4828.822906494141,44
HOUR_APPR_PROCESS_START,4691.789587020874,85
AMT_REQ_CREDIT_BUREAU_QRT,4439.882308959961,51
FLAG_WORK_PHONE,4151.982803344727,55
WALLSMATERIAL_MODE,4096.511127471924,61
LIVINGAREA_AVG,4088.498483657837,45
POS_SK_DPD_MEAN,4045.0230045318604,58
INS_PAYMENT_DIFF_MAX,4025.8419036865234,69
APARTMENTS_MODE,3947.1558990478516,67
NAME_INCOME_TYPE,3935.8845043182373,49
